time,open,high,low,close,volume,high_time,low_time
2025-01-02 08:00:00,0.82758,0.83012,0.82758,0.82963,16547512000.0,2025-01-02 11:26:15.992,2025-01-02 08:00:00.312
2025-01-02 12:00:00,0.82964,0.8325,0.82946,0.83022,23220444000.0,2025-01-02 13:38:54.912,2025-01-02 12:06:36.624
2025-01-02 16:00:00,0.83021,0.83035,0.82755,0.82876,27194320000.0,2025-01-02 16:00:42.390,2025-01-02 16:04:03.466
2025-01-02 20:00:00,0.82875,0.82942,0.82808,0.82934,3689591000.0,2025-01-02 23:42:09.504,2025-01-02 22:04:01.003
2025-01-03 00:00:00,0.82936,0.82946,0.82857,0.82866,2751485000.0,2025-01-03 00:03:17.650,2025-01-03 03:57:42.155
2025-01-03 04:00:00,0.82868,0.82986,0.82845,0.82911,5109211000.0,2025-01-03 07:55:41.121,2025-01-03 06:26:12.039
2025-01-03 08:00:00,0.8291,0.83004,0.82878,0.82992,9962717000.0,2025-01-03 11:50:20.988,2025-01-03 08:41:23.142
2025-01-03 12:00:00,0.82994,0.83029,0.82893,0.82942,13929559000.0,2025-01-03 15:12:26.892,2025-01-03 15:53:05.420
2025-01-03 16:00:00,0.82943,0.82957,0.8286,0.82888,7615680000.0,2025-01-03 16:01:44.217,2025-01-03 16:58:51.919
2025-01-03 20:00:00,0.82887,0.82983,0.82878,0.82975,1897597000.0,2025-01-03 21:47:29.836,2025-01-03 20:28:40.465
2025-01-05 20:00:00,0.82816,0.83006,0.82816,0.82939,1783794000.0,2025-01-05 22:48:32.714,2025-01-05 22:05:00.008
2025-01-06 00:00:00,0.82936,0.82962,0.82876,0.82955,3192269000.0,2025-01-06 03:36:21.010,2025-01-06 01:24:27.575
2025-01-06 04:00:00,0.82954,0.82959,0.82851,0.82929,3371789000.0,2025-01-06 04:00:28.633,2025-01-06 06:25:28.051
2025-01-06 08:00:00,0.8293,0.83147,0.82867,0.83083,20670592000.0,2025-01-06 11:33:42.636,2025-01-06 08:32:00.286
2025-01-06 12:00:00,0.83082,0.83175,0.82947,0.83092,28228997000.0,2025-01-06 13:30:01.125,2025-01-06 12:32:09.032
2025-01-06 16:00:00,0.83094,0.83103,0.82959,0.8302,10542366000.0,2025-01-06 16:00:20.376,2025-01-06 18:05:21.532
2025-01-06 20:00:00,0.83022,0.83022,0.82915,0.82998,2914005000.0,2025-01-06 20:00:00.076,2025-01-06 22:05:05.259
2025-01-07 00:00:00,0.82995,0.83005,0.82905,0.82922,4143259000.0,2025-01-07 00:04:55.328,2025-01-07 01:54:29.032
2025-01-07 04:00:00,0.82921,0.82992,0.82905,0.82967,4833732000.0,2025-01-07 07:44:48.844,2025-01-07 06:24:59.820
2025-01-07 08:00:00,0.82969,0.83054,0.82946,0.8304,11903603000.0,2025-01-07 11:09:10.668,2025-01-07 09:11:51.604
2025-01-07 12:00:00,0.83039,0.83051,0.82867,0.82995,22747592000.0,2025-01-07 12:01:06.844,2025-01-07 13:48:36.240
2025-01-07 16:00:00,0.82993,0.83042,0.82887,0.82902,11338390000.0,2025-01-07 16:31:37.602,2025-01-07 19:15:23.272
2025-01-07 20:00:00,0.82901,0.8292,0.8286,0.82888,1828416000.0,2025-01-07 20:22:20.114,2025-01-07 21:43:08.316
2025-01-08 00:00:00,0.82889,0.82927,0.82887,0.8292,3254828000.0,2025-01-08 01:31:15.551,2025-01-08 00:02:22.857
2025-01-08 04:00:00,0.82921,0.8294,0.82839,0.82866,4983324000.0,2025-01-08 05:15:49.013,2025-01-08 07:58:35.657
2025-01-08 08:00:00,0.82869,0.83369,0.82834,0.83231,17409642000.0,2025-01-08 11:41:17.055,2025-01-08 10:31:47.740
2025-01-08 12:00:00,0.83232,0.83519,0.83222,0.83459,23381795000.0,2025-01-08 15:00:23.617,2025-01-08 12:00:00.554
2025-01-08 16:00:00,0.8346,0.8349,0.83378,0.83422,11155802000.0,2025-01-08 16:02:31.366,2025-01-08 16:43:46.199
